date,product_category,product_name,region,units_sold,unit_price,total_revenue,customer_type
2025-01-05,Electronics,ワイヤレスイヤホン,東京,45,12800,576000,B2C
2025-01-12,Electronics,モバイルバッテリー,大阪,32,4980,159360,B2C
2025-01-15,Office,デスクライト,東京,28,8900,249200,B2B
2025-01-20,Electronics,USBハブ,福岡,15,3480,52200,B2C
2025-01-25,Office,エルゴノミクスチェア,東京,8,49800,398400,B2B
2025-02-03,Electronics,ワイヤレスイヤホン,大阪,52,12800,665600,B2C
2025-02-08,Office,モニターアーム,東京,22,15800,347600,B2B
2025-02-14,Electronics,モバイルバッテリー,東京,68,4980,338640,B2C
2025-02-18,Office,デスクライト,大阪,18,8900,160200,B2B
2025-02-22,Electronics,USBハブ,東京,25,3480,87000,B2C
2025-03-01,Electronics,ワイヤレスイヤホン,福岡,38,12800,486400,B2C
2025-03-05,Office,エルゴノミクスチェア,大阪,12,49800,597600,B2B
2025-03-10,Electronics,モバイルバッテリー,福岡,42,4980,209160,B2C
2025-03-15,Office,モニターアーム,大阪,15,15800,237000,B2B
2025-03-20,Electronics,ワイヤレスイヤホン,東京,55,12800,704000,B2C
2025-03-28,Office,デスクライト,福岡,20,8900,178000,B2B
2025-04-02,Electronics,USBハブ,大阪,30,3480,104400,B2C
2025-04-08,Office,エルゴノミクスチェア,東京,10,49800,498000,B2B
2025-04-12,Electronics,ワイヤレスイヤホン,大阪,48,12800,614400,B2C
2025-04-18,Electronics,モバイルバッテリー,東京,55,4980,273900,B2C
2025-04-22,Office,モニターアーム,福岡,8,15800,126400,B2B
2025-04-28,Office,デスクライト,東京,35,8900,311500,B2B
2025-05-05,Electronics,ワイヤレスイヤホン,東京,62,12800,793600,B2C
2025-05-10,Electronics,USBハブ,福岡,22,3480,76560,B2C
2025-05-15,Office,エルゴノミクスチェア,大阪,15,49800,747000,B2B
2025-05-20,Electronics,モバイルバッテリー,大阪,45,4980,224100,B2C
2025-05-25,Office,モニターアーム,東京,28,15800,442400,B2B
2025-05-30,Office,デスクライト,大阪,25,8900,222500,B2B
2025-06-03,Electronics,ワイヤレスイヤホン,福岡,42,12800,537600,B2C
2025-06-08,Electronics,モバイルバッテリー,東京,72,4980,358560,B2C
2025-06-12,Office,エルゴノミクスチェア,東京,6,49800,298800,B2B
2025-06-18,Electronics,USBハブ,東京,35,3480,121800,B2C
2025-06-22,Office,デスクライト,福岡,18,8900,160200,B2B
2025-06-28,Office,モニターアーム,大阪,20,15800,316000,B2B
2025-07-02,Electronics,ワイヤレスイヤホン,東京,70,12800,896000,B2C
2025-07-08,Electronics,モバイルバッテリー,大阪,58,4980,288840,B2C
2025-07-12,Office,エルゴノミクスチェア,福岡,5,49800,249000,B2B
2025-07-18,Electronics,USBハブ,大阪,28,3480,97440,B2C
2025-07-22,Office,デスクライト,東京,40,8900,356000,B2B
2025-07-28,Office,モニターアーム,東京,25,15800,395000,B2B
2025-08-04,Electronics,ワイヤレスイヤホン,大阪,55,12800,704000,B2C
2025-08-10,Electronics,モバイルバッテリー,福岡,38,4980,189240,B2C
2025-08-15,Office,エルゴノミクスチェア,東京,9,49800,448200,B2B
2025-08-20,Electronics,USBハブ,東京,32,3480,111360,B2C
2025-08-25,Office,デスクライト,大阪,22,8900,195800,B2B
2025-08-30,Office,モニターアーム,福岡,12,15800,189600,B2B
2025-09-05,Electronics,ワイヤレスイヤホン,東京,58,12800,742400,B2C
2025-09-10,Electronics,モバイルバッテリー,東京,65,4980,323700,B2C
2025-09-15,Office,エルゴノミクスチェア,大阪,11,49800,547800,B2B
2025-09-20,Electronics,USBハブ,福岡,20,3480,69600,B2C
2025-09-25,Office,デスクライト,東京,30,8900,267000,B2B
2025-09-28,Office,モニターアーム,大阪,18,15800,284400,B2B
2025-10-03,Electronics,ワイヤレスイヤホン,福岡,45,12800,576000,B2C
2025-10-08,Electronics,モバイルバッテリー,大阪,50,4980,249000,B2C
2025-10-12,Office,エルゴノミクスチェア,東京,13,49800,647400,B2B
2025-10-18,Electronics,USBハブ,東京,38,3480,132240,B2C
2025-10-22,Office,デスクライト,福岡,15,8900,133500,B2B
2025-10-28,Office,モニターアーム,東京,22,15800,347600,B2B
2025-11-02,Electronics,ワイヤレスイヤホン,東京,75,12800,960000,B2C
2025-11-08,Electronics,モバイルバッテリー,東京,80,4980,398400,B2C
2025-11-12,Office,エルゴノミクスチェア,大阪,8,49800,398400,B2B
2025-11-18,Electronics,USBハブ,大阪,42,3480,146160,B2C
2025-11-22,Office,デスクライト,東京,38,8900,338200,B2B
2025-11-28,Office,モニターアーム,福岡,15,15800,237000,B2B
2025-12-03,Electronics,ワイヤレスイヤホン,大阪,82,12800,1049600,B2C
2025-12-08,Electronics,モバイルバッテリー,福岡,55,4980,273900,B2C
2025-12-12,Office,エルゴノミクスチェア,東京,18,49800,896400,B2B
2025-12-15,Electronics,USBハブ,東京,48,3480,167040,B2C
2025-12-20,Office,デスクライト,大阪,28,8900,249200,B2B
2025-12-25,Office,モニターアーム,東京,30,15800,474000,B2B
2025-12-28,Electronics,ワイヤレスイヤホン,東京,90,12800,1152000,B2C
2025-12-30,Electronics,モバイルバッテリー,東京,85,4980,423300,B2C
